"ID";"Label";"Orga.hiero";"Nmbr.Plage.ext";"Decor";"Del.centre";"Datation";"Dm.ext";"Dm.int";"Titre";"Nmbr.hiero";"Nmbr.Symb";"Surface";"Symb";"Hiero";"Titre-Hiero"
"Boehmer1987-131";"B.131";"Atypique";2;"Hieroglyphes.et/ou.Symbols";"Ligne.simple";"16-15e";18;10;"Abs";2;2;"Plate";"Animaux, Frise.torsadee, ";"L19-a2, ?, ";"?  "
"Boehmer1987-154";"B.154";"Atypique";1;"Figuratif";"Frise.trosadee";"16-15e";24;11;"Fonctionnaire";3;2;"Plate";"L441-VITA, L370-BONUS2, L370-BONUS2, Cupule, ";"L105-BOS, L432-zu, L326-SCRIBA, ";"L326-SCRIBA  "
"Dincol2008-1";"D.1";"Atypique";1;"Ornemental";"Ligne.simple";"16-15e";20;10;"Abs";1;0;"Plate";"Frise.torsadee, ";"?, ";"?  "
"Dincol2008-10";"D.10";"Atypique";1;"Ornemental";"Ligne.simple";"16-15e";26;13;"Fonctionnaire";3;0;"Plate";"Frise.torsadee, ";"L90-ti, ?, L354-URCEUS, ";"L354-URCEUS  "
"Dincol2008-105";"D.105";"Atypique";1;"Ornemental";"Aucune";"Inconnue";16;12;"Abs";2;0;"Plate";"Frise.rectangles, ";"L334-pa, L376-zi/a, ";"  "
"Dincol2008-118";"D.118";"Atypique";1;"Ornemental";"Aucune";"Inconnue";23;19;"Abs";2;0;"Plate";"Frise.rectangles, ";"L292-, ";"L292-  "
"Dincol2008-15";"D.15";"Centre";1;"Ornemental";"Ligne.simple";"16-15e";17;8;"Abs";3;0;"Plate";"Frise.torsadee, ";"L391-ma/i, L312-VIR, L101-ASINUS2, ";"  "
"Dincol2008-16";"D.16";"Atypique";1;"Ornemental";"Ligne.simple";"16-15e";17;11;"Fonctionnaire";3;2;"Plate";"L370-BONUS2, L369-VITA, Frise.torsadee, ";"L197-HATTI-li, L173-HASTARIUS, ";"L173-HASTARIUS  "
"Dincol2008-18";"D.18";"Atypique";1;"Hieroglyphes.et/ou.Symbols";"Ligne.simple";"16-15e";27;13;"Abs";3;3;"Plate";"Animaux, Rosette, Arbre, ";"L199-TONITRUS, L32-BRACHIUM, L227-URBS, ";"  "
"Dincol2008-2";"D.2";"Atypique";1;"Ornemental";"Ligne.simple";"16-15e";16;9;"Abs";4;0;"Plate";"Frise.torsadee, ";"?, ";"?  "
"Dincol2008-24";"D.24";"Atypique";1;"Figuratif";"Ligne.simple";"16-15e";24;11;"Abs";3;2;"Plate";"L370-BONUS2, L369-VITA, Figuren, ";"L105-BOS, L439-wa/i, L90-ti, ";"  "
"Dincol2008-25";"D.25";"Atypique";1;"Figuratif";"Ligne.simple";"Inconnue";15;14;"Fonctionnaire";3;0;"Plate";"Figuren, ";"L191-SOL, L370-BONUS2, L173-HASTARIUS, ";"L370-BONUS2, L173-HASTARIUS"
